,Ticker,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Company,Employees
301,MAR,Marriott International,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286.0,1927,Marriott Intl,174000
302,MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",1987-08-31,62709.0,1905,Marsh & McLennan,76000
303,MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076.0,1993,Martin Marietta Materials,8846
304,MAS,Masco Corp.,reports,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996.0,1929,Masco,18000
305,MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1141391.0,1966,Mastercard,21000
306,MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754.0,1889,McCormick & Co,13000
307,MXIM,Maxim Integrated Products,reports,Information Technology,Semiconductors,"San Jose, California",2018-12-03,743316.0,1983,Maxim Integrated Products,7115
308,MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908.0,1940,McDonald’s,205000
309,MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653.0,1833,McKesson,80000
310,MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1613103.0,1949,Medtronic,90000
311,MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158.0,1891,Merck & Co,71000
312,MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219.0,1868,MetLife,49000
313,MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646.0,1945,Mettler-Toledo Intl,16500
314,MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,789570.0,1986,MGM Resorts Intl,70000
315,MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054.0,1989,Microchip Technology,18000
316,MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125.0,1978,Micron Technology,40000
317,MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019.0,1975,Microsoft,163000
